name,price
AGUA OXIGENADA SANADROG 10v x 500 cc,$260
AGUA OXIGENADA SANADROG 10v GOTERO x 100 cc,$88
ES REPELENTE DE INSECTOS X 60 G (CREMA),$102
SULFATO DE MAGNESIO TABLADA SOBRE 30 g x 25 u,$1.805
ESPONJA MASAJE POM POM TELA TEJIDA LP ART.1001,$185
AGUA PURIFICADA DESMINERALIZADA TABLADA x litro,$233
CLORURO DE MAGNESIO DROGAL 33gr.BOLSAx12 SOBRES,$966
JERINGA DARLING 10 cc 40/8 x 100,$1.693
BOTIQUIN FUREY GRANDE,$4.002
BOTIQUIN FUREY CHICO,$1.322
BICARBONATO DE SODIO SOBRE DROGAL 25gr.x 25u,$1.570
O2+ CEPILLO DESENREDANTE VIOLETA (0249),$1.240
HIPO CLINICARE 10 x 10 cm CAJA x 20 unid.,$1.407
BASTON CANADIENSE x unid. SILFAB B1005,$4.005
BICARBONATO DE SODIO FUREY POTE x 100 gr,$229
BICARBONATO DE SODIO FUREY C/CUCHARA x250gr,$378
CLORURO DE MAGNESIO TABLADA 33gr.CAJAx12 SOBRES,$1.548
"HIPO VENDA FISIOPLAST (TENSOPLAST) 7,5cm x 4,5m",$1.923
GLUCOSA PURA ORAL EN POLVO TABLADA x 75 grs.,$363
OXIMETRO CORONET POD 2,$4.063
OXIDO DE ZINC TABLADA SOBRE 10gr. x 25u,$3.604
BORATO DE SODIO TABLADA SOBRE 20gr. x 25u,$1.333
ACIDO PICRICO DROGAL x 100 cc,$375
SOLUCION TIMEROSAL DROGAL GOTERO x 60 cc,$483
"TELA AD. PRINTEX N.6 x 12 r 2,5cmx4,5m",$2.247
AGUA DE ALIBOUR TABLADA x 100 cc,$131
CH LINIMENTO OLEO CALCAREO x 250 cc,$328
VASELINA SOLIDA POTE DROGAL x kg,$2.623
SOLUCION IODOPOVIDONA TABLADA x 100 cc,$730
BICARBONATO DE SODIO DROGAL CAJA x 250 gr,$312
ALCOHOL BORICADO TABLADA x 100 cc,$260
CLORURO DE MAGNESIO DROGAL POTE x 200 gr,$416
SULFATIAZOL TALQUERA DROGAL x 4 grs,$501
CLORURO DE MAGNESIO DROGAL POTE x 100 gr,$270
AGUA OXIGENADA FUREY 10v GOTERO x 100 cc,$119
BICARBONATO DE SODIO SOBRE FUREY 20gr. x 25u,$2.305
ACIDO BORICO FUREY SOBRE DE 20gr. x 25u,$2.533
BICARBONATO DE SODIO DROGAL CAJA x 100 gr,$185
LAPIZ NITRATO PLATA VERRUGOL x UNIDAD,$1.782
DIADERMINA ROSADA FUREY x 120 gramos,$466
SOLUCION FISIOLOGICA GOTERO FUREY 100cc,$133
VASELINA SOLIDA FUREY POTE x 30 grs,$239
VASELINA SOLIDA FUREY POTE x 60 grs,$258
VASELINA MEDICINAL FUREY x 500 cc,$981
VASELINA MEDICINAL FUREY x 250 cc,$564
VASELINA MEDICINAL FUREY x 125 cc,$312
LIMONADA ROGE DROGAL x 60g,$404
GLICERINA TABLADA x 125 grs,$373
AGUA OXIGENADA FUREY 10v x LITRO,$487
AGUA OXIGENADA FUREY 10v x 500 cc,$355
AGUA OXIGENADA FUREY 10v x 250 cc,$216
ACEITE VERDE TABLADA x 125 cc,$397
ACEITE DE RICINO TABLADA x 40 cc,$329
Pembo - Algodón - 70 g,$106
algabo gel ef. humedo pote 350,$273
algabo gel ef. humedo 475,$351
algabo gel ef. humedo pomo 150,$202
algabo gel ef. humedo pomo 200,$218
algabo gel ef. humedo gota 150,$228
algabo quita c/ dosif. 120,$319
TALCO PERFUMADO BOLSITA FLORAL 200G,$135
TALCO PERFUMADO TALQUERA VIOLETS 250G,$202
algabo hisopos 150 impo,$299
algabo hisopos tubo 125 impo,$267
algabo men crema p afeitar 150,$569
algabo men after shave 120,$429
algabo men talco 180,$215
algabo men talco 120,$169
algabo gel efecto firme 500,$433
algabo gel ext brillo 500,$433
algabo gel ef humedo 500,$433
algabo gel ext fuerte pote 350,$273
algabo gel ext brillo pote 350,$273
algabo gel ext fuerte 475,$351
algabo gel ext brillo 475,$351
algabo gel ext fuerte pomo 150,$202
algabo gel ext brillo pomo 150,$202
algabo gel ext fuerte pomo 200,$218
algabo gel ext brillo pomo 200,$218
algabo gel ext fuerte 150,$228
algabo gel ext brillo gota 150,$228
algabo baño natural pomo 200,$312
algabo baño natural argan 350,$371
algabo barro vegetal pomo 200,$312
algabo barro vegetal pote 350,$371
algabo crema peinar argan 300,$338
algabo crema peinar kerat 300,$338
algabo crema peinar rizado 300,$338
algabo hisopos zipper 125,$216
algabo hisopos tubo 100,$216
algabo enj bucal s/alcohol 500,$351
algabo enj bucal s/alcohol 250,$267
algabo enjuague bucal 250,$267
algabo enjuague bucal 500,$351
algabo agua micelar 200,$402
algabo agua micelar dosif 120,$358
algabo pompones de algodon 50,$306
algabo discos desmaq 80,$293
algabo crema aloe-manz 200,$286
algabo crema miel-almendra 200,$286
algabo crema avena-karite 200,$286
algabo crema manos y uñas 90,$234
algabo crema miel-almendra 400,$424
algabo crema avena-karite 400,$424
algabo crema aloe-manz 400,$424
algabo ac 0% oliva y argan 750,$359
algabo ac 0% açai y romero 750,$359
algabo acond detox ep 930,$260
algabo ac manz y magn ep 930,$260
algabo aco coco y leche ep 930,$260
algabo ac aguac y argan ep 930,$260
algabo ac detox 930,$299
algabo ac manz y magnolia 930,$299
algabo ac coco y leche 930,$299
algabo ac aguacate y argan 930,$299
algabo ac detox ep 300,$140
algabo ac manz y magno ep 300,$140
algabo ac coco y miel ep 300,$140
algabo ac aguac y argan ep 300,$140
algabo sh 0% oliva y argan 750,$359
algabo sh 0% açai y romero 750,$359
algabo sh detox ep 930,$260
algabo sh manz y magno ep 930,$260
algabo sh coco y miel ep 930,$260
algabo sh aguac y argan ep 930,$260
algabo sh detox 930,$299
algabo sh manz y magnolia 930,$299
algabo sh coco y leche 930,$299
algabo sh aguacate y argan 930,$299
algabo sh detox ep 300,$140
algabo sh manz y magno ep 300,$140
algabo sh coco y leche ep 300,$140
algabo sh aguac y argan ep 300,$140
algabo quita xtreme prof 100,$179
algabo quita c/ keratina 100,$147
algabo quita humectante 100,$147
algabo quita fortalecedor 100,$147
algabo quita express 75,$280
algabo quita c/keratina 50,$98
algabo quita humectante 50,$98
algabo quita fortalecedor 50,$98
ultra sanitizante gel 250,$247
ultra sanitiz gel pocket 60,$241
ultra sanitizante gel ep 1000,$514
algabo gel ducha kar-agu 350,$273
algabo gel ducha coco-miel 350,$273
algabo jab liq kar-agu 221,$215
algabo jab liq coco-miel 221,$215
algabo jab liq antibac ep 900,$517
algabo jab liq floral ep 900,$475
algabo jab liq greentea ep 900,$475
algabo jab liq citrus ep 900,$475
ultra sanit spray 125,$211
ultra sanit gel c/glic manos 4,$2.207
ultra sanitiz superficies 4,$1.856
ultra sanitiz c/glic p/manos 4,$1.755
ultra sanit spray 500,$338
ultra sanitizante gel 500,$384
algabo jab liq kar-agu dp 220,$124
algabo jab liq cocomiel dp 220,$124
algabo espuma manz-mag dp 250,$215
algabo espum cer/canela dp 250,$215
algabo jab liq flower dp 300,$139
algabo jab liq cremoso dp 300,$139
algabo jab liq flower mix 300,$218
algabo jab liq cremoso 300,$218
algabo jab liq coconut dp 300,$139
algabo jab liq f bosque dp 300,$139
algabo jab liq coconut 300,$218
algabo jab liq ftos bosque 300,$218
algabo jab liq flo rain dp 300,$139
algabo jab liq greentea dp 300,$139
algabo jab liq citrus dp 300,$139
algabo jab liq floral rain 300,$218
algabo jab liq citrus 300,$218
algabo jab liq green tea 300,$218
ultra sanit spray 140,$183
ultra sanitizante gel 750,$540
ultra sanitiz gel holder 30,$208
algabo sanitiz dp 300,$176
ultra sanitizante gel 75,$195
algabo sanitiz gel menta 300,$254
algabo saniti incoloro 300,$241
algabo esp antib manz&mag 250,$341
ultra sanit spray superf 500,$423
ALCOHOL EN GEL ULTRA 70% POCKET 70 ML,$156
JABON ANTIBACTERIAL BIDÓN 4 LTS,$1.664
JABON LIQUIDO ANTIBACTERIAL NEUTRO DOY PACK 300ML,$212
JABÓN LÍQUIDO ANTIBACTERIAL 300ML,$273
JABON LIQUIDO ANTIBACTERIAL MANZANA Y MAGNOLIA 500ML,$371
JABON LIQUIDO ANTIBACTERIAL COCO Y LAVANDA 500 ML,$371
COLONIA INGLESA 750ML,$533
COLONIA LAVANDA 500ML,$462
COLONIA INGLESA 500ML,$462
COLONIA AMBRE 500ML,$462
REPUESTO POLVO FÉCULA 250G,$260
POLVO DE FÉCULA TALQUERA 250G,$306
CAJA X20 TALCO PERFUMADO BOLSITA FLORAL 400G,$194
TALCO PERFUMADO FLORAL 250G,$202
TALCO DESODORANTE EN POLVO ANTIBACTERIAL 200G,$260
TALCO DESODORANTE EN POLVO ANTIBACTERIAL 100G,$177
algabo talco clasico 120,$169
algabo talco soft ep 200,$182
DESODORANTE EN POLVO SUAVE 180G,$215
DESODORANTE EN POLVO CLÁSICO 200G,$182
algabo foot mujer 60,$143
POLVO DESODORANTE PARA PIES TALQUERA 100G.,$168
DESODORANTE EN POLVO CLÁSICO 180G,$215
DESODORANTE ANTITRANSPIRANTE PARA CALZADO AEROSOL 153 ML,$322
algabo foot 60,$143
POLVO DESODORANTE PARA PIES REPUESTO 200 G,$169
POLVO DESODORANTE PARA PIES TALQUERA 200G,$247
POLVO DESODORANTE PARA PIES TALQUERA 100G,$168
vais perf calida prim dp 250,$218
vais perf suave brisa dp 500,$299
vais perf calida prim dp 500,$299
vais perf suave brisa 500,$397
vais perf tela calida prim 500,$397
vais perf tela suave brisa 250,$273
vais perf tela calida prim 250,$273
cocoa post solar aloe 200,$590
cocoa post solar aloe 440,$979
cocoa post solar alantoina 250,$599
cocoa post solar aloe 250,$599
cocoa prot solar f45 pomo 130,$957
cocoa prot solar f45 200,$1.255
SONDA FOLEY 2 VIAS DE SILICONA KAUTION N°24 BALON 5,$510
SONDA FOLEY 2 VIAS DE SILICONA KAUTION N°22 BALON 5,$510
SONDA FOLEY 2 VIAS DE SILICONA KAUTION N°20 BALON 5,$510
